,제목,작가,평점,내용,장르,이용연령가,연재요일
386,메소드 연기법,김이연,9.96,"메소드 연기로 유명한 천재 배우 서시아.새로운 드라마 방영을 앞둔 그녀의 주변에서 미심쩍은 살인사건이 연이어 일어난다.그녀의 새로운 경호원 봉수는 살인사건과 그녀 사이에 연관성이 있다는 사실을 알아차리고, 비밀을 파헤치기 위해 조금씩 사건을 파고들게 되는데….완벽한 그녀의 연기력, 과연 숨겨진 비밀은 무엇일까?!<뱀이 앉은 자리>, <구독금지> 김이연 작가의 스릴러 신작.","스토리, 스릴러",15세 이용가,금
387,로또 황녀님,"무무경 / 보리멸, 도힌",9.96,"[나는 환생과 회귀를 멋지게 한 아기를 만나고 싶단다. 한 번 더 살아볼 테냐?]전생의 유명 유튜버, 다음 인생에서 신이 좋은 가문에 태어나게 해 준댔는데,망한 황실의 황녀로 태어나고 말았다!그런데 절망도 잠시, 띠롱! 소리와 함께 눈앞에 채팅창이 떠올랐다.이게 다 뭐야?[베르크: 내 조카가 빵이 먹고 싶다는군.][베르크: 제국의 모든 빵집을 수배해.]","스토리, 로맨스",전체연령가,금
388,성스러운 그대 이르시길,"26,유다 / 로주 / 미...",9.95,"신성국의 이단심문관 '맥클라트'는 대신관의 명으로 사악한 대마녀 '비에니'를 사로잡는다. 그런데 비에니는 오히려 마녀사냥을 돕겠다며 다른 마녀들을 밀고한다. 자기 앞에선 두려움에 떨면서도, 마녀를 정화하는 데는 거리낌이 없는 비에니. 그녀를 곁에 두며 맥클라트는 자신의 감정과 신념에 점점 혼란스러움을 느끼는데...","스토리, 로맨스",15세 이용가,금
389,스토커의 하루,bunny,9.78,옆집엔 스토커가 살고 윗집엔 미치광이가 산다! 끔찍한 기억의 고시원에서 벗어나 허름한 원룸으로 도망쳐 나온 미대생 ‘김하루’. 이사 온 지 한 달 만에 옆집에는 자살 사건이 발생하고 그 방엔 음침하고 수상해 보이는 여자가 이사 온다. 그러던 어느 날 집으로 돌아온 김하루의 눈앞에 자신의 방에서 식칼을 든 채 서 있는 옆집 여자와 마주치게 되는데… “하루씨… 난 당신을 위해 뭐든 할 수 있어.”,"스토리, 스릴러",15세 이용가,금
390,악마라고 불러다오,자양 / 써나 / 안테,9.96,"낮에는 성형외과 의사로, 밤에는 악마로 살아가는 '현신'.  눈빛만으로 누구든 유혹하는 마력을 가졌지만,어느 날 나타난 '이나'에게는 유혹이 통하지 않는다.대신 태평한 얼굴로 가슴 수술을 해달라 하는데... 이 여자는 뭘까?","스토리, 로맨스",15세 이용가,금
391,달이 없는 나라,엥비,9.97,"온 나라의 모든 집안이 부계를 따르지만, 단 한 곳 황실만은 어머니로부터 딸에게 황위가 이어진다. 그리고 아들을 내세워 여황제의 눈에 들고자 하는 귀족들.  사랑조차 협잡이 되는 황궁에 홀로 던져진 태자 선요. 그녀는 선택해야 한다. 태자의 정실이 되는 것은 누구일까? 그리고 모든 것이 끝났을 때, 선요는 사랑과 권력을 둘 다 가질 수 있을까?","스토리, 로맨스",전체연령가,금
392,아찔한 전남편,마풍각 / 여백 / 별규,9.88,"국민 여배우 하은설.여배우 전성기 시절 남편과 첫눈에 반해서 결혼했고, 1년 만에 헤어졌다.대한민국 톱배우였던 하은설의 입지는 바닥까지 추락했다.하지만 하은설, 악착같이 일어나 재기에 성공했다!그리고 4년 뒤, …그가 다시 나타났다.전남편의 유혹에 넘어가지 않기 위한 은설의 힘겨운 사투!과연 성공할 수 있을까?","스토리, 로맨스",15세 이용가,금
393,기억해줘,BD / 왈치,9.88,"여행을 떠난 은하는 그곳에서 괴한에게 쫓기던 의문의 소년 산호를 만난다.간신히 산호를 데리고 도망쳤지만, 한 달 뒤 산호는 은하의 앞에서 사망하게 된다.이에 은하는 도망치듯 한국으로 돌아가고 17년 뒤, 죽었던 산호와 닮은 남자가 은하의 앞에 나타난다.그 남자는 자신을 신노엘이라고 소개하지만 너무 많은 부분에서 산호와 겹쳐 보인다. 그는 정말 산호가 아닌걸까? 아니면 산호일까. 일그러진 기억속에서도 당신을 찾아가는 이야기, 나를 기억해줘.","스토리, 로맨스",12세 이용가,금
394,도전! 집콕취미,이동건 / 모죠 / 홍끼,9.92,"본 콘텐츠는 클래스101의 브랜드 웹툰입니다.아직도 뭘 배울 때 ‘오프라인 원데이 클래스’ 들으러 가?취미, 온라인으로도 얼마든지 배울 수 있다!","에피소드, 일상",전체연령가,금
395,인피니티,2오,9.77,"축구선수가 공을 무서워한다?!공만 오면 자동적으로 피하는 몸 때문에 괴로워하는 축구부 다민은 새로운 제안을 받는다.""야, 너 펜싱 해라!""인생 최대의 약점이 최대의 강점으로 인정받은 순간 다민은 새로운 세계에 발을 내딛는데...귀족 스포츠 펜싱계에 말도 안 되는 천재 등장!","스토리, 스포츠",전체연령가,금
396,지니오패스,공현곤,9.91,"'살인욕구를 가진 천재들을 이용해 힘을 독차지하려는 비밀조직이 존재한다!'참전 후 살인망상에 시달리는 퇴역군인 도마도. 치료를 위해 방문한 정신상담센터에서 다짜고짜 자신을 대한민국 최상위급 천재라며 의문의 전화번호가 적힌 명함 한장을 건넨다. 그 번호를 누르니 연결된 상담원은 마도에게 원하는 뒤처리 서비스를 선택하라며네 가지 보기를 주는데… 1번 폭행, 2번 납치, 3번 강도 그리고 4번 살인.","스토리, 스릴러",15세 이용가,금
397,백년게임,하람 / 지야,9.84,"""당신의 게임은 여기까지군요"" 백 년마다 열리는 소원 그 이상을 이뤄주는 대회, 최종 우승자는 단 한 명.소년 한시준, 가족을 구하기 위해 모든 것을 걸고 치열한 전투에 뛰어든다.","스토리, 판타지",12세 이용가,금
398,드래곤의 심장을 가지고 있습니다,시뉴라,9.96,천 년전 포악한 드래곤을 무찔렀다는 용사 샤론.샤론을 동경하며 자란 아루 앞에 어느날 정체불명의 남자가 등장한다.뭐? 자기가 바로 그 무시무시한 드래곤이라고? 게다가 내가 바로 그 용사라는데?!천 년만에 재회한 드래곤과 용사의 귀엽고도 애절한 로맨스 판타지!,"스토리, 로맨스",15세 이용가,금
399,태권보이,김우준,9.58,"성적도 장래희망도 애매모호, 뭐든 설렁설렁 대충이지만 알고 보면 태권도 고수인 주인공 '김인'.주변에서는 겨룰 자가 없을 만큼 출중한 실력을 자랑하지만 어쩐지 선수는 되려 하지는 않는다.태권도는 사랑하지만 겨루기는 제기차기라고?그런 인에게 운명처럼 찾아온 태권도계의 슈퍼루키 김민석과의 단 한 번의 겨루기.이제 그들은 이기기 위해, 제대로 싸우기 위해 새로운 태권도 겨루기의 장에서 맞선다!","스토리, 스포츠",12세 이용가,금
400,비밀친구,이밤애 / 사바싸,9.81,"세상의 모든 비밀을 알 수 있다면 그것은 축복일까?충격적인 비밀들을 나에게 알려주는 악마,그러나 이를 발설하면 상대는 죽음에 이르게 된다.악마와의 위험한 공존 속에서 그를 처단해야 한다.","스토리, 스릴러",15세 이용가,금
401,여름여자 하보이,석영,9.97,"여름마다 비밀을 간직한 여자, 하보이.내 머리속엔 ‘이것’만 있어야 하는데 윗층에 세 들어온 트롯 작사가 을준이 거슬리기 시작한다!간단명료한 그녀 ‘하보이’와 복잡미묘한 그 ‘권을준’의 로맨틱 코미디.","스토리, 로맨스",12세 이용가,금
402,별빛 커튼콜,아르몽,9.94,"화려한 인플루언서로 살아온 '문유별'. 아버지 사업이 망하며 성월에 있는 외할아버지 집으로 쫓기듯 내려오고, 그곳에 살고 있는 남자 '오리온'을 만나게 된다. ​빚더미에서 벗어나기 위해, 외할아버지가 남긴 유산을 받으려 고군분투하는 유별과, 사사건건 유별을 방해하는 리온. ​과연 유별은 무사히 유산을 받고 원래의 삶으로 돌아갈 수 있을까? 성월에서 펼쳐지는 힐링 로맨스!","스토리, 로맨스",전체연령가,금
403,합법해적 파르페,뼈피살,9.96,비범한 공주님 파르페의 신묘한 모험 판타지,"스토리, 판타지",전체연령가,금
404,재앙의 날,환상특급 / 이승찬,9.84,"2009년, 한 산골마을에서 주민이 총살당한다. 연이어 일어나는 불길한 일들. 마을에서 나고 자란 소년 '조정우'는 자신을 바라보는 미스터리한 시선을 느끼고, 걷잡을 수 없는 재앙에 휘말리기 시작한다.","스토리, 스릴러",15세 이용가,금
405,미드우트,원김,9.88,괴물 처치 부대 '스레투'가 사라진 지금... 인간들은 괴물들의 먹이가 되었다. 이유는 '이안'이라는 오퍼 지원자가 모든 군인들을 죽여버렸기 때문이다. 태어날 때부터 생명의 위협을 받으며 살아온 '진청도'는 전설의 아이템 '미드우트'를 이용해 과거로 가서 스레투를 학살한 이안을 죽이려 하는데...,"에피소드, 판타지",15세 이용가,금
406,"행운을 빌어요, 용사님!",송현주,9.87,"전생에 무찌른 마왕이 현생의 직장 상사?!마왕을 무찌른 용사의 기억을 가지고 다시 태어난 평범한 직장인 백영웅!용사의 기억이 도움이 된 건 어릴 적 웹소설을 썼을 때뿐! 영웅은 현실에서 쓸모없는 전생의 기억을 아쉬워하며 가까스로 대기업인 대룡 ENT의 대표 이사 비서실에 취직한다. 그런데 처음 만난 대표 이사 도연화에게 전생에서 경험한 적 있는 긴장감과 떨림을 느끼는데…? 이건 마치, 아주 강한 마수를 마주했을 때와 같아…!!전생 마왕, 대표 이사와 전생 용사, 말단 비서의 지독하게 얽힌 로맨스!","스토리, 로맨스",전체연령가,금
407,쌈빡,38,9.72,마천에는 오래된 소문이 하나 있다.그것은 이 학교가 조폭양성소라는 소문..물론 아직은 소문일 뿐이다.,"스토리, 액션",15세 이용가,금
408,팬시X팬시,인미,9.9,"어렸을 적부터 '팬시' 덕후로 살아온 한백지, 자신만의 팬시를 만들기 위해 팬시 디자이너가 되었다!그러나 현실은 노답... 팬시 디자이너만 되면 좋아하는 건 뭐든 다 만들 것 같았는데. 현실과 타협하면서 점점 꿈을 잃어가는 백지는, 온스타그램에서 너무나 좋아하는 '도토리라떼'의 그림을 보며 하루하루 힐링한다. 어느 날, 회사에 잘 생기고 일 못하는 신입 후배가 들어온다. 어쩌다 그가 바로 자신에게 늘 영감을 주었던 '도토리라테'라는 걸 알고 놀라는 백지! 이제 드디어 그녀는 '도토리라테'와 함께 새로운 도전을 하기 시작하는데...","스토리, 로맨스",전체연령가,금
409,천상의 주인,권러프 / MOOHAK,9.78,"모두가 척박한 지상을 벗어나 풍족한 하늘로 가기를 꿈꾸는 세상.500년 전, 하늘이 붕괴되고 아홉 층운으로 갈라지면서 서바이벌이 시작된다.'아홉 층운을 넘어 천상에 오르는 자. 세상의 주인이 되리라.'가혹한 세상을 증오하였던 지크는 자신의 운명을 바꾸고자 천상에 오르길 꿈꾸고...마침내 아홉 층운으로 이어지는 '하늘의 문'이 열리는 날, 오랫동안 염원하던 하늘길을 여는 특별한 새 '소울버드'를 얻고는 하늘로 향하는 모험을 시작하게 된다.","스토리, 판타지",12세 이용가,금
410,여름의 너에게,라라뮤,9.93,"15살 여름, 하루아침에 서울에서 시골로 이사를 가게 된 소라. “여기서 어떻게 살아?!"" 뒤바뀐 일상에 울적해진 소라의 앞에 두 소년이 나타난다.이사 온 첫날부터 늘 곁에서 도와주는 자상한 윤이, 얄궂지만 따뜻한 구석도 있는 태민.마음에 안 드는 것만 가득한 이 동네에서, 소라를 설레게 하는 사람은 누굴까?","스토리, 로맨스",전체연령가,금
411,너의 키스씬,조니조,9.93,"예능작가 이슬, 새로 담당한 예능프로그램에 최애 아이돌인 블록슛 승찬의 출연소식을 듣는다.10년 넘게 좋아한 최애를 만난다는 기대도 잠시, 방송국에서 우연히 최애가 다른 사람과 몰래 키스하는 현장을 목격한다.게다가 담당한 예능 프로그램은 출연자들끼리 데이트 하는 모습으로 가득한 연애버라이어티라는데...나 아닌 다른 사람과 썸타고 연애하는 모습을 지켜봐야 한다. 비록 그가 나의 최애, 혹은 썸남일지라도.<점핑오버> 조니조 작가 신작!","스토리, 로맨스",12세 이용가,금
412,짝사랑 마들렌,미이,9.96,"취미가 없는 취미클래스 MD, 유지아. 달달함과는 거리가 먼 워커홀릭 지아에게도 아련하고 풋풋한 첫사랑의 기억이 있다.그런데 새 프로젝트의 파트너가 멀리서만 바라보던 그 짝사랑, 방은오라고?!얘... 원래 이런 성격이었나? 10년에 걸친 달콤한 첫사랑 로맨스!","스토리, 로맨스",전체연령가,금
413,서울시 천사주의,안민,9.93,평범한 듯 평범하지 않은 빛나는 어느날 악령의 기운을 가진 아저씨를 만난다.악령과 엮여버리면서 먼치킨(?)이 되어 성사고 '천사반'에 입학하게 되는데…악령의 힘을 쓰는 빛나가 천사반에서 무사히 살아남을 수 있을까?!와글바글 판타지 성장드라마!,"스토리, 판타지",전체연령가,금
414,스치면 인연 스며들면 사랑,을승,9.95,다른 지구에 존재감을 두고 이 쪽 지구로 넘어온 현도. 어느 날 현도의 존재를 느낄 수 있는 사람인 선화가 현도 앞에 나타난다. 아무것도 남기지 않고 살던 곳으로 돌아가려던 현도에게 희망이 생긴다. '나도 남들처럼 살 수 있지 않을까?'. 옷깃만 스쳐도 인연. 현도는 인연을 넘어 이 곳에 자연스럽게 스며들고 싶다.,"스토리, 로맨스",전체연령가,금
